  8 11 26 16 11 27
 23  4 15 15 26  5
  3 26 10  9 18 12
 12 13 24  6 23  2
  7 20 20 13 27 21
 21 10  8 12  4  3
 24 12  1 23 12 13
 26  8 19  4 19 17
 22 24 17 22 22 24
  6  6  4  3 10  6
  5 18 18 24  6  4
 15  2  3 11 21 22
 19  3 21 20  2 11
 14 25 22  2  5 19
 20 19  6  5 15 26
  2 14 14  7  3 23
 18 16 11  1 25 10
  4  9  7 21 24 18
  9 23  2 14  1 15
 25 22 25 10  9  8
  1  7 23 18 16  9
 10  1 16  8 13 14
 11 21  5 25 20  7
 13  5 12 26  8 25
 27 17  9 17  7 20
 16 27 13 19 14  1
 17 15 27 27 17 16
