 29 17 28 14 27
 13 30 15 17 12
  9 26 23 25 29
  3 23 26 18  6
 11  3 22  2 23
 22 15  2 23 22
  2  8 16 11 26
 12 10  1 15  5
 14  7 27 29 20
  5  2 11 26  9
 30  9 12 19 18
 17 24 20  9 21
 19  5 24 12  2
 16  4  5 20 28
 24 29 25  5 17
 21 20 30 21 10
 23  1 18 16 15
 26  6  7  3 11
 25 22 14 28 25
  8 16 13  6  1
 10 18  6 30 14
 18 27  9 24  3
 15 19 17  1  7
  1 14 19 22 16
 27 12 21 27  4
 28 25  4 10  8
  7 11 29  8 13
 20 13 10  7 30
  4 21  3  4 19
  6 28  8 13 24
