 20 15 21 23 19 20 19
 17 12 16  6 15 25  1
 24 20 23 15 13  5  4
 16 19  1 22 17 16  6
 13  3 15 24  6  8  3
 10  1 12 16 14 24 25
 11 13 10  2  2  3  7
  1 14  9 25 12 15 17
  2  4  3 13 16  4 13
  9 24 13 20 22  2 10
  6 22  7  8 10 12  2
 15  2 24  3 21 14 12
 14 25 19 14  1 13 21
 25 11 11 12 25 11 22
  4 18 17  4 18  7 23
  7 10 25 21  9 10 15
  5  7 18 17 24 18  5
  8  8  2  5  7 19 20
 22 23 14  1  8 17 14
 21  9  5  7 20  9  8
 12 21  6 10 23 23 16
 23  5  8 19  3 21 11
  3 17 22 11  4 22  9
 19  6 20  9 11  1 18
 18 16  4 18  5  6 24
