  2  8 11 15 17  8  1  6 10 14
  5  5 17 10  4  1  6 12  6 12
 13 14 16  8 14 10  5  3 11  2
  3  3 12  5 11 16 10  8  1  4
  1 11  6  9  2  9 16 17  9  1
 11  1  7 11 12  4 17  1  7  9
  4 13  4  6  9  2 11  4 13 17
 15  7 13 13  3 15 13  5 14  8
  6 16  5 12 13 17  7 13 15 10
  7 10  3  3  5 13  2  2  5  7
 14 12  8 14 10  3  3 15  2  5
 17 17 10  1  1  6  9  7  8 11
 16  6  2  7 16 11 12 11  4 13
 12  2  9  4  8 14  4 16 12 16
  9 15 15 16  7 12 15 10  3 15
  8  9 14  2 15  5 14 14 16  6
 10  4  1 17  6  7  8  9 17  3
