  3 10 24 23  8 18 13  9 16 21
  5  4 21 12 18 12 19 21 20  5
  8  2  7  5  4 20 15 14 22 16
 12  6 18  6 13  7 23 17  6 24
 11  7  4 24 20 10  4 24 13 14
  4  8 12  4 12 17  1  4  8  4
 19 23 23  8 21  9 16  5  9 15
  2 24 10  7 10  3  7 20 15 13
 16  9  2  1 15  4 20  8 17  8
  6 15  1 11  5  8  3 10  4 19
  9 12 11 14 23  2 11  2 23 23
 21 14 13 19  1  6 21 19 18 17
 20  1 19 15  7  1  6 13 11  6
 22 11  8  9 24 22 12 18 12  1
 15  3 14 16 19 24  8  7  5 18
 23  5  9 21  9 13 18  3  1 12
 10 18 17 10  6 23 22  1 14  7
 13 13 22  2  2 15 10 23  2  9
 17 16 20 20 14 21  2 16 24 11
 14 22  5 17  3 11  9  6 21  3
 18 21  3 13 11 19 17 22  7 22
  7 20 15 22 16  5 14 15  3  2
  1 17  6 18 22 16 24 12 10 10
 24 19 16  3 17 14  5 11 19 20
