  1 15  5 14 18 12  1 12 16  1 11
 15 12 10  7 17  1  5  7  1  7  4
  5  5 18 11  8 21  7  1 10  5  7
  2 11 15 15  2 17 16  8  2 13 17
 10  6 16 16 20  5 10 20  9  6 21
  8 18 11  6 21 19 21 10  7 19  9
 11  2  7 18  5  7  3  9  8 16  1
 19 13  8 19 14 20  6 16 13 17 18
  4  3  9 10  6  2 20 15 17  8 15
  9 10  2  3  3 18  9 21 14  9  5
 14  4  3  9 19 16 13  3 19 14 14
 20 17 17 12  1  3  8 11 18 18 10
 21  1 14  1 13 14 12 13  5  2 12
  7  8 13  2 11 10  4  6 20 20 20
 13 19 21  8  7 13  2 18  4 11 16
 12 21 12 17  9 15 15 14 21  3  3
 17 16  6  5  4  8 17  4 11  4 19
  3 14 19  4 15  6 14 17 12 15  2
 18  9 20 21 16 11 19  5 15 10  6
 16  7  4 13 10  9 18 19  3 21  8
  6 20  1 20 12  4 11  2  6 12 13
