  2  7 12 20  2  6  7 15 16 22  5 19
 22 18  7 17 12 11  6 10 11 25 26  1
  8 10 15  7  9 15  2  3  7  7  3  4
 19  8 24  6  7  3 13 23 18 12 20  3
 21  9  5  8 23 14 24 17 19 23 15 25
 10 25  6 13  8  2 18  4  8 19 19 24
 26 21  9  4  3 17 11 21  2 15 10 17
  5 22 10  9 26 25 22 13 15 13  7  2
 25  5 11 19 21 19 17  2 17  6 21 10
  3 16  4  5 17  4  9  8 22  4 14  8
 12  6 23 16  5 23 21  9  4 24 13  7
  4 17 26 21 11 21 14 22 12  5 12 26
 14 12  1 12  1 26  4 18 13  1 23 13
 15  1  8 15 15  5 26 24 10  8  1 15
 11 23 13 18 24 12  1 25 25  9 18 18
 20 26 22 14 16 20  8 19 21 20  2  9
  7 20 20 25  4 16 25  6 20 14 24 14
 23 11 19 26 25  1  3 12  9 17 11 12
  9  3  2 24 10 13 16 20 24 18  9  5
 24 14 18 10  6 10 20 11 26  3  6 21
 16  2 17  3 13 24  5  7 23 16 17 23
  6  4 21 11 22  9 10 14  3 10 25 22
  1 13 14  2 18 18 19 26  6 21 22 11
 18 15  3 23 19 22 12  5  5 11  4 20
 17 24 16 22 14  7 23 16  1  2 16  6
 13 19 25  1 20  8 15  1 14 26  8 16
