 20 11 13 22  6 20  9  8 28  8 28  4 10 23 11  4
 22 20 24 18  3  2 21 29 20  3  6 15  6 16  2 13
 13 19 19  1 15 30  1 15 11  9  4  9 18  1  9  2
  2 10 12  5  7  6 14 28 17 26 11 29 14  6 17  3
  5 27 27 24 19 21 24 21  5 22 15 22  8 12  6  5
  7  4  3 14 17  7  3 20  7  2 17  8  7 22 23 10
 27 15  5 30 25  9 27 16 21 21 14  1 17 18 25  1
  3 22 14 17 30 26 13 30  9 19 30  3 27 17 19 18
 10 30 17 29 13 12 10 18 24  6  2 28 29 21 22 14
 30 24 11 13 20 28 30  1 16  1 23 30 13 13 14 15
 18  7 20  2 10 10 26 17  8 18 29 27  3 20 10 26
 15 26  8  9  1 16 23 24 13 12 24 20 23 29 29  6
  4 12 25  3 24 24 19 12 27  4 18 18 19 19 26 28
  1 17 10 26 22 14 20  9 14 13  8 10  1 30  8 30
 12 29 26 10 16  5 12  3 19 24 22  5 15 27  4 23
 11  2 18 27  9 27 17  2 18 23 26 14  5  9 27 12
 23 16  2  6 12 25 18 11  2 27 16 16 30 24  1  9
 24  3 21 20 29  4 16  4 10 10  9 23 24 25 16  7
 25 28  4  8 11 23 15 22 25 11 10  6  4  8 18 25
  8 18  1 21 14  1 25 14 30 15 27 21 25  2 12 20
  9 13 30 12  5 13 28  7  1  7 12  2 21  7 20 16
  6  5  6 15  4 22  5  5 22 20  7 24 22 15  5 22
 14  1 15 11 26 18 29 25 29 30  1 13 11 26 13 17
 16  9  7 28 27 17 11 27  3  5 21 19 16  5  3 24
 28  6 28  7 21 11  7 23 23 14 25 11 26 10  7 11
 21  8 22 19 18 19 22 19 15 25  5  7 28  3 30 27
 17 21 23 16 28 15  4 10 26 28 20 26  2  4 21  8
 29 25 16 25  2  8  2 13  6 29 19 12 20 14 15 29
 19 23  9  4 23  3  8  6  4 17  3 17  9 11 28 19
 26 14 29 23  8 29  6 26 12 16 13 25 12 28 24 21
