 10  6  5  2  2 10  3 10  2  7 16
  9 16  6 13 16  8 13  5  1  6  6
  3  9 12  4 14  2  4  7  4 12  4
 16  4  2 15 13  1  9  8  9 10 13
 14 12 10  5  3  3 14 11 11  5  3
  5  8 14  8 15 11 16 15 13  8 15
 11  1 16 10  8  6 12 13  3 16  9
 15 11 13  6 10 14  8  1  5  2 12
 13  7 15 14  4  9  5  4 16  9  5
  2 13 11 16  1 16 10  9  8 11 11
  4 10  1 11  5  5  6 16  6  1  8
 12 14  4  3 11 13  7 14 14 14  7
  1  2  7  1  9  7 11  6 15  3 10
  7 15  8  9  7  4  1  3 12 15 14
  6  5  3  7  6 12 15  2  7 13  2
  8  3  9 12 12 15  2 12 10  4  1
