 10  4 13  8  9  3  7 17 21 18 11  5 17 18 23 22
 20  1  8 18 10 11  9  2  9 16 14 22 21 15  3  5
 17  7 19  3 20  8 20  8 19 12  5 17 20  6 18  9
  6 10 23 16 22 20  3  3 13 17 13  1  8 14 16  8
 18  3 20 13  6  5 19 10  6  7 20  2  9  9  8 19
 11  6 15 19  2  9 13 23  1 23  2 11  1 12 13  7
 12 11  2  6  1 23 12  4 16  1 23 12 23 13 15 17
 22 19 22  5  3 18 15 18 12 14  7  9 15 22  2 11
 16 22  9 11 17 21  5 11  5 22  4  6 19  7 10 18
 23 15  1 15 23  1 17 22 14 20 17 19 13 11 12 15
  3 17 18  1 11 13 10 14 18 21 15 23  2 10  6 20
 19 16  5  2 19 12 11 16  7  3 12  4  3 16 21  4
  5  2 10 12 15 22 21 19 10  8  6 21  7 20 17 16
  1  8  4  4 16  6  1 12  3 13 22 14 14 23  9 10
 15 23 11 21 14 10 23  5 23 15 21  8  4 21 14 12
 13 20 17 14  7  4  4  9 17  2  3 20 11 19 11  1
  9 14 16 23 21 15 16  7  2  4 10 15 16 17  5 23
 14  5 14 10 18 19  6 21 22  5 19 13 10  2  4  6
  2 12  3 17  8 16 22 15 20 10  9  3 18  8  7  2
  4 21 21 20 12  7  8 20  8  6 16 10 22  5 19 13
  8 18 12  9  5 17 18  6  4 19 18 18 12  3 22  3
 21  9  6 22  4 14  2 13 15 11  8 16  6  4 20 21
  7 13  7  7 13  2 14  1 11  9  1  7  5  1  1 14
