 11 28  6  3 14 20
 17  2 23 27 20 21
  4 14  2 26  9 23
 13 10  4 24 27 13
 14 24 28  8 12 14
 12  5 25 20  4  8
  3 16 10  1  5 10
 21  9 14  7  2 22
  5 11 26  5 18 24
  9  4 12 17 11 27
 15 17 16 10 28 28
 23 19  1  6 19  9
  7 18 20 22  1 18
 18 12 21  4 10  2
 27  8 11 23 13  6
 24 27 17 25  8 12
 20 25  9 21 22 25
 25  6 19  2 24 17
 16 23  5 16  3  4
  8  3  8  9 23  3
 22 15 27 18 26  5
  2 22 13 19 25 16
 26 21 24 13  6 26
 28 13  7 15 17 19
 19  1  3 11  7 15
  6 26 22 12 21  7
  1  7 18 14 15 11
 10 20 15 28 16  1
