 15  2 19 19 24  1 16  9 18 16
 24 11 16 17  5 25 13  5  4 19
  7 12 12  7 23 18  4  3 10 24
 21  5 11 24 17 19 23 13 11  3
 22 18 23 14 16  5  5  2 14  6
  3 21 15  3  3  2  7 12 12 18
 12 20 14 21 19 24  2 21 23 13
  6  3 24 22  7 13  3 14  5 11
 13  4  5  5  4  6 18  4  8  7
 16 14  3 23 15  3 11 20  6 23
 19  7 20  4 20 11  9 23  3 14
 11  9 22 15  1 15 22 19 16 25
  2 15 21 11 21 23 21 10  7  8
  4 16 10 25  9 12 20  1 21 15
 25 19  4  2 25 14 19 16 13 12
 23  6  8 12 10 10  1 11 22 22
 10 22  7 13 18  8 24  7  2 20
 14 17  9  8  8 21  6 18  1  4
  1 10  6 16 22  7  8 17 19  5
 18 23  2 20  2 17 10  8 17  9
  9  8 17  1 14 16 12  6 25  1
  8 25 18 18 11  9 15 25  9  2
 17 24 25  6 13 20 17 15 20 21
 20 13 13  9  6  4 25 22 24 10
  5  1  1 10 12 22 14 24 15 17
