 20  9  2  8 19  8 11 24
 27 19 21  2 15 14  9 21
 14 27 27 10  1 11 13 19
 26 23 10 21  9  6 22 17
 15  4  6 24 14 24 25 20
  8 20  7 14  6  3  3 22
  9  5 20  4 22  5 21 16
 18  3 25 22 10  4  8 11
  6  2  5 11 26 17 10  8
 13 21 26 16 20 18 24  2
 10 18 19 26  7 27 12  7
 11  7  9 18 16  1 14  1
 22 17 16 12 27  2 26 13
 25  8 23  9 12 23 19  6
 19 25  8  5 23 26 15 10
  7 14 22 27 24  9 16 23
  1 10 14 19  3 13 27  9
 24 12 12 25 21 12  2  4
 16 13  4  3  5 10 20  3
  2 11 24 13 18 25  4 18
  4 24 17  7 13  7  6  5
 23 15  3 17  2 22  7 12
  5 16 11  6 11 21 23 26
 21  1 18 15  4 16 17 27
 12  6 13  1  8 19  1 15
  3 26  1 23 17 15 18 14
 17 22 15 20 25 20  5 25
