  8  3  2 11  2 14  9  8  5  3  7 13 12
 10 12  5 14  4 10  7  4 14 12  5  2  7
  3 14  6  7 11 11  4 14 12  8  9 11 13
  5  8  4  6  7  2 13  2 13  1 11 10  5
  4  1  3  5 13  7  3  3  1  9  6  4  8
  9  2 12  8  6  9  1 12 10  2 13  3  6
  6 13  8  3  9 12 11  9  4  4  3  1  3
 12 11 11 13 12  6  5  6  2  5 10 12  4
 14  7  1  1  5  4  6 13  6 11  8  9  2
  7 10 13  2  1  3  2  5  8  6  4  7 14
 13  4  7 10 14  1 12 10 11  7  2  6 10
  1  5 14  9  8  8  8  7  9 13  1 14  1
  2  9  9 12  3  5 14 11  3 10 12  5  9
 11  6 10  4 10 13 10  1  7 14 14  8 11
