  1  9  7  2  9 12 15 13  3 21 22 10 13  1 22 13
 16  6 22  7 10  3  1  2 14 16 18 13  9 21 17 11
 18 21  9  1 12 14 13  7 11 11  3 21  4 15 21  1
 13 20  4 10 20  4  8 10 21  4 20 12  3  3  6 12
 20 19 10 16  4 11  3 20 17 14 10  3 11  4 19 19
 19 11 15  3 19  6 17 14 18 20 11  2 16 16  5  5
 22  3 19 19 15 15 16  5  6 13  9 14 10  2  3 15
 12  1  5  8  7 18 12 21 22 12  8 15 22 22  7 14
  2 13 16 18 17  8 19 11 19  2  5 16 12 19 20 16
  5  7  3  4 13 10  4  6 12  6  2  5 14 12  1 21
  7  2 11 14 21 16 11  3 16  8 15  4 19  6 18  2
  8  4 13 11 22  7  9 22  5 17 12 22  2 13 14 22
  6 12 18  5  3 13 20 19 15  7 16 20  8  7  2  8
 10 10 17 21  1 22 10  9 20 22  1  8  1 11 12 10
  4 18 14 12  6  5  6  4  7 18  6 17 21  5  8  7
  3 16  6 17 16 19  2 15  9 15 14  9  7 20  4  4
 17 15  2 13 14 21 22  8 13 19 19 19 18 10 13 20
 21  8  8 20  2  9  7 12  4  3 17 18 15 17 11  3
 14  5  1 15  8  2 21 16  8  9  4  6  6  8 15  6
  9 22 21 22 11  1 14 17 10 10 21  7 20 14  9 17
 11 17 12  9  5 17 18  1  1  5 13  1  5 18 10 18
 15 14 20  6 18 20  5 18  2  1  7 11 17  9 16  9
