  8 20 20 12  7  4  6 10  5 19
 11  7 21 17 20 10 19 16 18 14
 18  4 13 18  3 11  1  7  4 10
 21 10 12 10 13 17  3 14 20 21
 17 21  6  7 21 15  9 19  8 11
 12  8  1 15 14 18  7  2  6  6
  1  9 11  9  2  3 18 18  7  8
 16  6 15  1 16  1  8 11 16  7
 10 18  3  3  5  9  2 15 15  5
  9  2 17  4  9 20 11 17  2 13
  4 12 18 19 12 14  5 21 12  3
 20 13 19  6 11  8 21  4  9  4
  2 19 14 13 17 21 15  6 14  9
  5 11  4  2 15 12 17  8  3 20
 14 17 10 16 18  5 13 13  1  1
 15 15  8 20  4 19 20 12 10 18
  3  3  9  8 19  7  4  3 11 17
 19  5  2 14  8  6 14 20 13 16
 13 16 16  5  1 13 12  1 17 15
  6 14  5 21 10  2 10  5 21 12
  7  1  7 11  6 16 16  9 19  2
