  1 16  8  7  5  3 17 15 13 10 11  4 14  4  9
 16 17  7  9 11 16 10 16 11 11  9 17  3 17 13
  4  3  4 10 13 15  5 14  6 12  2  6  7  3  6
 10  2  1  3  3 11 15 11  8  4  4 12 15 11 12
 14  7  2 13 16  7 11  6 15 16  8  3 13  8 15
  9 11  6  6  2  4  3  8 17 15  3  9  2 12  2
  8 14 10 15 17  6 14  9  3  3  5 10  1  1 11
  3  9  3  5 10  1  8  2  4  7 16  7  6 16 14
 12  4 17 14  1  8  7 17  1  9 10  1  8 13 10
 15 15  5 16  4 14  6  4  7  5 13  8 12  7  3
  6 12 16  4 15 17 13  5  9  8  6  2 11 14  4
  7  6  9 12 14  5  4 13 12  2 14 14 16 15  5
 17  5 15  8  7  2  9  1 10  6  1 16  9  2  7
 13 10 11  1 12  9 12 12  2 17 17 13 10  6  1
  2 13 13 11  6 10  1  7  5 14  7 15 17  9 17
  5  1 12 17  8 12 16  3 14 13 15 11  4 10  8
 11  8 14  2  9 13  2 10 16  1 12  5  5  5 16
