  8 14  9  7 22  1 25 19
  4 12 18 21  3 11  4 27
 11 28 10  6 14 16  3  8
 24 15 14 14  1 22  8  1
 18 21 23 20 19  2  5  5
  2  2 15 13 28  6 14 10
  3 20  2  3  9 20 12 16
 19 23 13 12 12 29 26 28
  1 17 17 29 17 21 20 13
 17  8 12  1 25 23  6 24
 10  5 24  8  5 27 18 21
 26 18  7 22  4 15 24 23
 15  1  1 18 18 13 16 29
 14 22 21  2  2  9 28 12
 25 16 26  4 16  5 13 26
 21  7  4 11  6  7  2 14
 27  4 19  5 20 19 23  7
 22 24  3  9 27 12 19  3
 23  3 22 28 13 17  7 20
 29 29 16 16 10  3 17 18
  6  9  5 19 15 25 29  6
 20 10 28 23 26 10 27 15
 28 13  8 24 23 28 11 11
 13 19 20 17 29 26  1 17
 16 26 27 25  7 24 15  9
  7 11 29 10 11 14 10  2
  9 25  6 27 21  8  9 22
  5 27 25 15 24 18 22 25
 12  6 11 26  8  4 21  4
