  3  9  7  9 12  6 18  2  5  5  1
 14 17 12  8 15 12  6 16  1 10  3
  6  5  6 11 13  3  3 17 13 13 15
  4 10  9  5 17 15  1 12 18  4 10
 12 14  5 12  4 17  5  6 12  2  5
 17  8  1 15  9  8  8 11 17 17  2
 11 12 15  2  8  5 15 18 15  6  6
  9  2 13 16 16 14 16  4 14 11  7
  1 16  3 17  6 11 14 15 10  8 13
 18  7 18 10 14  9 13  9 11  1 18
  8  1 10 14  2  1 10 13  2  3  8
 15 11 14 18  7  4  2  1  6  9 11
  5 13 16 13 11 18 11 10  4 18 14
  7 18 11  7  1  7  9  3 16 12 17
 10  3  2  1 10 13  7  5  3  7 16
 13 15  4  4 18  2 12  7  8 16  9
 16  6  8  6  3 16 17 14  7 14 12
  2  4 17  3  5 10  4  8  9 15  4
