 20  2 16 15 22  7
 16  8 23 23  8  5
  6 17 19 11  1  8
 18 24 12  3 23 15
 13 23 25 13  7 20
  7  7 21 17 24 17
 15 18  2 22 21 19
  9  3 13 21  2 21
 10 25 14 16 12  1
  3  4 24  4 13 11
  5 20  8  7  9 23
  1 10  4 14  6 16
  2 21 17 24 17 14
 11  9 15  6 19 25
 21 22  5 18  3  9
 12 14  9 10 25 10
 17  1  1  9 11 13
 19 15 20 19 14 24
 14  6 10  5  5  2
 22 12 18  2  4 18
 24  5  6 12 16 22
 25 13 11 25 10 12
  4 11  7 20 20  3
  8 16  3  1 15  6
 23 19 22  8 18  4
