  5  5  2 12 17 19  8
  8 11 23 13 22  6 21
 17  4 15 21 16  8 24
  9 20  6 14  7 23  4
 22 10 10 24 13 17  2
 20 17 22  2 15 21 10
  4 13 11  3  4 16 23
  3 18  4 23 19 10 15
  6 24 17  5 10  9 13
  7  2  9 19  5  3 11
  2  8 20 17 11 20 19
 11 21 21 22  2 13  9
 21 16  1 18  9 14 20
 14 23  8  8 18 18 22
 15  6 24 15  8 11  3
 23 19 19 11  6  4 18
 19  3 13 10  1 22 16
 24  7  7  7 23 12 12
 10  1 18  4 20 15  5
  1 15 14  9 14  5  1
 12  9  5  1 12  1 17
 16 12  3  6  3  7  6
 13 14 16 20 24 24 14
 18 22 12 16 21  2  7
