 10 19 21  5 11 19 22  9
 11  8 17  6  5  2  7  4
  5 15 10 16  2  4 23 12
 17 23  9  7 16 22  5 13
 20 22 18 15 13  3 18 15
  9  1  7 13 15  5  6 21
  1 20 13  9 21  7 11  6
 14 13  1  4 20  1 12 16
  8 14 19 17 18 16  4  1
 13  2 15 14  1 23 13  7
 18  6  4  8  4 15 20 18
 19 10  5 18 12  6  1  8
  2  7 22 20 10  8 14 17
 15 18 20 11  3 11  3 20
  6 11 16  1 17 12 19 23
 22 16  8  2  7  9 15  2
  4  9  2 12 14 21 17  3
 21  5 23 10 22 14  9 11
  7 21  3 23  6 13  8 10
 16  3 12 22 19 10 21  5
 23 12 14 21  8 20 10 22
  3  4 11  3  9 17  2 14
 12 17  6 19 23 18 16 19
