 24  7 15 25  3 18 16 17 14 22  3 24  4  3 18 17  6 21  7
 13 25 21  8 18 23 21 22  8 11  5  9  5  8  3 13  4  9 23
 22 20 25 19 11 21  8  2 22 25  9  8 20 18  2 23 12 18 12
 11 21  6 22 24 15  5  3  9 14 11 15 22  4 26  3  3 10  8
 15  9  3  9 10  4  2  6 21 19  8  4  7  6 14 11 19 24 25
  2  1 18 15 27 17  1 13 19 21 24 11  6 27 15 18  9  8  9
  7 23 17  4  9 19  9 15 16  4 19 26 26 22 13  6  8 22 24
 14 24  1 17  2 22 17 25 27 15 25 12 25  7 20 19 25 15 15
 19  5 10 10 14 27 20  1  6 24 26 27 19 10 16 10 14  2 19
 20 17 26 27  4 14  4 18  2  3 18  5 12 12 21 14 15  3 27
 17 19 23 12  6  3 23  5 11 12 23 17  8 25 23 21  5 25 16
 27 11 20 21 22  1 15 21 17 17  1 13 27 24 17  9 18  5 20
 12 22  5 26 21 11 24 11 15 23 14 25 10 21  7 25 23 11 26
  6 14  7  3  8 25 13  9 13  7  2  7  2 20 25 26 17  6 14
  4 16 27  5 23 13 26 26 20 26 10 18 11  9 22  5 16 20 13
 21  3 11  2 16  9  7 23 25  9 13 20 17 15 27 24  1 13 22
 23 13 19 13 25 20 12  8 24  5 20 19  3  2  6  4 24 12 17
 16 12  8 11  5 16 25 19 23 18 16  2 15 23  5  2  2  4  5
  1  2 16 16  1 10 18  4  1 13  4 14 16 16  8  1 27 16 21
 10  6  4 23 12  5 10 27 12  6 27 16  1 19  1  8 13 17 11
  8 10 24  7  7  6  6 16 10 16 15 23 23  5  4 22 22  7  6
  9  4 22 24 17 24 22 10 18  8 17  3 21 14 24 12 21 23  3
 26  8  2  6 26 12 27 12  3  2 12 10 24 13 11 20 11 19 10
 25 27 14  1 15  7 11 14  7 27 22  6  9 17 19  7 26 14  1
 18 18  9 14 20 26  3 24  4 10  6 22 14 26  9 15 20 26  4
  3 26 13 18 13  2 19  7 26  1  7 21 13 11 12 16 10  1  2
  5 15 12 20 19  8 14 20  5 20 21  1 18  1 10 27  7 27 18
