  8 11  2 25 24  9  7 10 26 17 13  2 25 13 12
 18  3 10 10 22  6 13  3  4 20 19 21 21  8 21
  3  5 25 17 14 19  3 13 15 24 25 14 20  3  7
 22 10 26  1  9 16 21 11 10 18 16  1 17 21 23
  5 22  5 20 13 22 10  9  9  4 21 19  7 20 22
 25 12 16 15 11 26 19  4 16  1 12 26 26  5 13
  2 18  7  7 21 17 26  1 14 14  1 15 18 24 15
  6 24 20  8  3  7 14  2 17  8 18  3 11  9  6
 12 15 17 13 26 15 22  7 24 11 22 11  1  1 26
 26 17 21 26  4 10  6 15  1 15 23 16  5 12 16
 15  2 14 22  5  2  1  6 20  6  9 13 15 25 18
 17 23 11  4 20 25  2 17 19 22 11  7  6  7 17
 10  1 13 24 19 24 25 14  3 10 15  6  9 18  2
 23 16  8 11  6 21  8 22 23 13 20 10 23 22  4
 14 21 15 14 17  1 18 26  6 26 26  5 14 26 14
 21 19 23 16 18  8 12  8 22 21  3 22  8 19  3
 20  6  4  3 16  5 23 18 21  3 24 17 13 14  8
  1 13  9 23 10  3 20 21 11 19 10 18  4  6  5
 11 25 12 19  2 12 24 19 18 23 14 24 22 17 24
  7  4 22  9  7 23 16 25 25 16  6 20 12 11 19
 24  7  6 18 15 11 11 24 13  9  2  4 10  4 25
  9  9 19  6 23 13  4 23 12  7 17 25  3 23 11
 13 20  1  2  8 14  5 12  5 12  8 23 16  2  1
  4 14 18  5 12  4  9 16  2  2  4  8 24 16 20
 19 26 24 21 25 18 17 20  8  5  7 12 19 10  9
 16  8  3 12  1 20 15  5  7 25  5  9  2 15 10
