 24 16 23 18  3  4 16
  7 26  2 19 20 12 15
 18  5 27 15 19 15 22
 20  7 22  7  5 18  4
  2 24 15 10 10  3  5
 15 20 18 26 16  5 27
 19 13  8  6 25  1 13
 13 21  7 22  2 22  7
 14  1 14  4  1 11 19
  9  6 10 20  7  2 23
 27 19  9  1  9 14 11
 22 23 20 21 22 17  3
 25  3 13 24 18 10  6
 16 10  1 16 13  6  1
  3 17 12 23 26 19 20
 11  4  4  9 23 20  9
  1  2 19 17 14 24 12
 17 27 17 14  6 27 14
  8 15 11  3 17 26  2
  4 14  3 12  4 16 26
  5  9 21  2 21  7 17
  6 12 26 27  8 13 10
 23 25  6  8 15  9 21
 12 18 25 13 27  8  8
 26 11 16 11 24 23 25
 21  8  5 25 11 25 18
 10 22 24  5 12 21 24
