 22  7 19  4  3 22  8 14 17  2 16 12  2 12 14
  6 14 23  9 10 15  3  7  3 11 21 16  6 20  4
 20 21  4 11  4 12 13  9  7  7 18  2 15  2  2
  3 23 18 13 22 23  9 10 11 16  4 17 13  1 15
  2  9  8 14  1 10  7  5 23 23  9  9 14 18  6
 23 11  1 12 11  5 23  8 12 15  1 14  1 21 16
  9 13 10  3  7  2  4 21  9 18 17 13 22  3 17
  8  3 12 17  9 19 21  4 20 12 20  4 10  4 19
 14 20 16  1 14  8  1 12 21 14  6  1  9 15 22
 11 15 11  2 15 21 19  2  8  3  5 11 23 17  7
 13  4  2 20  8 17  2 15 14 13  3 18 20 10  3
 16 16  7 19 19  4  5  3 18  4 15 19  7  6 12
  1  6  5  7 16  9 14 11 13  5 23 21 18 14 23
 12  5 15 23 23  1 15 13 10 17 19 10  4 16  1
  7 22 21 18  6  3 17 16 15  6 12  7 19 22 13
  4  8 14 15 12  7 11 23  2  1  2  3  8  7  9
 18 10 22  8 20 11 22 18 22  9  8 15 17  5  5
 10 18  9 22  2 14 20 19  6 10  7 20  5 13 21
  5 17  3  5 18 16 18 17 16 21 14  6  3  9  8
 15  2 17  6  5  6 16  1  4 20 10 22 11  8 11
 17  1  6 10 21 18  6 20  5  8 11  8 12 23 18
 19 19 13 16 13 20 12 22 19 19 22 23 16 19 10
 21 12 20 21 17 13 10  6  1 22 13  5 21 11 20
