 23 25 10 26  6 15
  8 12  6 20  1 11
 20 20 24 15  2 28
 10 22 26 25 17  4
  6 19  2 28 23 18
 28 24 23 12 22  8
 22 27  5  4 19 27
 26 18  3 18 10  2
 21  4  8 24 26  6
 16 21 12  1 25 10
  9  6 25  7 24 23
 13  1  4 10 18 14
 14 29 15 22 13 20
 24  2 27 16 14 12
 11 26 17  8  3  5
 17  9  1 13  8 22
  2  3 19 23  9 26
 29 14 16 27 16 25
 25 13 18  9 29 17
 19 10 20  3 12  3
  4  7 14 14 20  1
 15  8 22 29  5  9
  7 23  9 11 11 24
 18 16 29 21 21 21
  3 28 21 17 27 13
 12 11 11 19 28 29
 27  5 13  5  4 19
  5 17 28  2  7 16
  1 15  7  6 15  7
