 18  7  8  4 15 18  6 16  5  5
 22 10 19 19 10  5  1 11  7  8
  9 17 20  7 22 21 11  9  1 12
 17  5 18 16 19 15 14 17 19 18
 16 20 17  3  4 13 20  8 11  4
 13 16 14 14 12 17  3  1 21  2
 19 18  7 20 17 10 18  3  9 15
 21  9 13 10  2 20 10  4 14 22
 20 15  4  6  7  6 12 20 20  7
  2 11  5  5 13 16 19 10 22 17
 15  2  2 12 21  1  7  7 13 10
  5 22  1 13 11 19 15 18  8  9
 12  1 10 21  8 22 22 14 16 11
  7 13  3 18  6 14  5  6  4 19
 10  6  6 15  1  9 16 12  2  1
  4 19 16 17  3  3  8 15 18 13
  1 12 12 22 20 12  9 22 12  3
  8  3 21  8  5 11  4 21 10 16
  6  8 22  9 16  7 17  5 17  6
 11 21  9  2 18  8  2 13 15 20
  3  4 11  1  9  4 13  2  6 14
 14 14 15 11 14  2 21 19  3 21
