  4 16  1  6 17  7  8  4  8 13 14
  9 12  7  3  3 19  3 10  5  7 18
  2  4 10 12  6  6  2  8  2 15  4
  7 11  5  9 12  1 19 18  6 18  9
  5 15 16 18  2 10  9 17  7  3  7
  1 14  9  1 16 12 14 12 19  9  6
 13  3  2  7  4  9 17 13 12  5  2
 14 10 11 11 19  8  1 19 15  4 15
 19  7 17  2  8  5 12 15  3 11 13
 16  9 12  5  1 14 10  3 16 19  8
 18 13  6 17  9  3  5  2 13  8  5
 11 17 14 14  5  4 16  9 18 14 17
 10  8 13 16 18 18 15  5  4 10  1
  6  5  3 15  7 17  6 16 17 12 12
 15 19  4 13 11 13 13  7  1  1 11
 17  1  8 19 15 11 11 11  9 17 19
 12 18 18  8 13 16  4 14 11 16  3
  3  6 19 10 10 15 18  1 10  6 16
  8  2 15  4 14  2  7  6 14  2 10
