  2 14 21  9 21 24  2 13 18 11  3
 26 12 12 20 19  2 26 15 15  1 10
 19 21 25 22  9 25 17 19 20 18 11
 25  6 24 14 26 19  8  8 16 21 14
 20 10 16 18  7  5  3 24  3 13  6
 17  5  7  5  4 12  4  7 21  4 12
 13  1  1 11 14 26  7 17  1 17 18
 12 26 17  1 13  1 11 10 26 16  7
  7 24 11 13  2 20 15 22  5  3  8
  1 22  2 15  8  6 20  6 17  9 16
 10 11  8 16 16 21 23  4 23 25  5
  3  7 15  2 10 17 25 25 10 20 13
  6  8 18 19 12 22 10  1 13  2 25
  8  9  9  7 25  4 16 20 19 15 26
 14 23 19 17 22 11 24 14  4 23 24
 11  2 23 26  5 13 21 12 12 10  1
 24 20  4  8 11 10  9 21 14 24  2
  5  4  5 23 20  7 13  9  6 19  9
 18 18 14  6 24 15 18  2  2  7  4
  9 19 26  4 18  8  6 18  8  5 17
 16 13 22 10  1  3 14  3  9 26 19
 21 25 10 25 17 16  1  5 11 14 20
 15 16  3 24 23 18 12 26 22  6 15
  4 17 13 21  3 14  5 16 24 22 22
 22  3 20 12 15  9 19 23 25  8 21
 23 15  6  3  6 23 22 11  7 12 23
