0 1 1 2 2 1 1 2 2 2 2 0 0 2 2 0 0 0 0 1 1 0 0 1 1
1 1 1 2 2 1 1 2 2 0 0 2 2 0 0 2 2 1 1 0 0 1 1 0 0
2 2 2 1 1 2 2 1 1 2 2 0 0 2 2 0 0 1 1 0 0 1 1 0 0
3 2 2 1 1 2 2 1 1 0 0 2 2 0 0 2 2 0 0 1 1 0 0 1 1
4 1 1 2 2 2 2 1 1 0 0 1 1 1 1 0 0 2 2 0 0 0 0 2 2
5 1 1 2 2 2 2 1 1 1 1 0 0 0 0 1 1 0 0 2 2 2 2 0 0
6 2 2 1 1 1 1 2 2 0 0 1 1 1 1 0 0 0 0 2 2 2 2 0 0
7 2 2 1 1 1 1 2 2 1 1 0 0 0 0 1 1 2 2 0 0 0 0 2 2
8 2 0 2 0 0 1 0 1 2 0 2 0 0 1 0 1 2 0 2 0 0 1 0 1
9 2 0 2 0 0 1 0 1 0 2 0 2 1 0 1 0 0 2 0 2 1 0 1 0
10 0 2 0 2 1 0 1 0 2 0 2 0 0 1 0 1 0 2 0 2 1 0 1 0
11 0 2 0 2 1 0 1 0 0 2 0 2 1 0 1 0 2 0 2 0 0 1 0 1
12 2 0 2 0 1 0 1 0 0 1 1 0 2 0 0 2 0 1 1 0 0 2 2 0
13 2 0 2 0 1 0 1 0 1 0 0 1 0 2 2 0 1 0 0 1 2 0 0 2
14 0 2 0 2 0 1 0 1 0 1 1 0 2 0 0 2 1 0 0 1 2 0 0 2
15 0 2 0 2 0 1 0 1 1 0 0 1 0 2 2 0 0 1 1 0 0 2 2 0
16 0 1 1 0 2 0 0 2 2 0 2 0 1 0 1 0 0 1 1 0 2 0 0 2
17 0 1 1 0 2 0 0 2 0 2 0 2 0 1 0 1 1 0 0 1 0 2 2 0
18 1 0 0 1 0 2 2 0 2 0 2 0 1 0 1 0 1 0 0 1 0 2 2 0
19 1 0 0 1 0 2 2 0 0 2 0 2 0 1 0 1 0 1 1 0 2 0 0 2
20 0 1 1 0 0 2 2 0 0 1 1 0 0 2 2 0 2 0 2 0 1 0 1 0
21 0 1 1 0 0 2 2 0 1 0 0 1 2 0 0 2 0 2 0 2 0 1 0 1
