  0   0   0   0 
  0   1   6   7 
  0   2   5   8 
  0   3   4   9 
  0   4   9   1 
  0   5   8   3 
  0   6   7   5 
  0   7   1   2 
  0   8   2   4 
  0   9   3   6 
  1   0   7   6 
  1   1   1   1 
  1   2   0   7 
  1   3   6   8 
  1   4   5   9 
  1   5   9   2 
  1   6   8   4 
  1   7   2   3 
  1   8   3   5 
  1   9   4   0 
  2   0   8   5 
  2   1   7   0 
  2   2   2   2 
  2   3   1   7 
  2   4   0   8 
  2   5   6   9 
  2   6   9   3 
  2   7   3   4 
  2   8   4   6 
  2   9   5   1 
  3   0   9   4 
  3   1   8   6 
  3   2   7   1 
  3   3   3   3 
  3   4   2   7 
  3   5   1   8 
  3   6   0   9 
  3   7   4   5 
  3   8   5   0 
  3   9   6   2 
  4   0   1   9 
  4   1   9   5 
  4   2   8   0 
  4   3   7   2 
  4   4   4   4 
  4   5   3   7 
  4   6   2   8 
  4   7   5   6 
  4   8   6   1 
  4   9   0   3 
  5   0   3   8 
  5   1   2   9 
  5   2   9   6 
  5   3   8   1 
  5   4   7   3 
  5   5   5   5 
  5   6   4   7 
  5   7   6   0 
  5   8   0   2 
  5   9   1   4 
  6   0   5   7 
  6   1   4   8 
  6   2   3   9 
  6   3   9   0 
  6   4   8   2 
  6   5   7   4 
  6   6   6   6 
  6   7   0   1 
  6   8   1   3 
  6   9   2   5 
  7   0   2   1 
  7   1   3   2 
  7   2   4   3 
  7   3   5   4 
  7   4   6   5 
  7   5   0   6 
  7   6   1   0 
  7   7   7   7 
  7   8   8   8 
  7   9   9   9 
  8   0   4   2 
  8   1   5   3 
  8   2   6   4 
  8   3   0   5 
  8   4   1   6 
  8   5   2   0 
  8   6   3   1 
  8   7   8   9 
  8   8   9   7 
  8   9   7   8 
  9   0   6   3 
  9   1   0   4 
  9   2   1   5 
  9   3   2   6 
  9   4   3   0 
  9   5   4   1 
  9   6   5   2 
  9   7   9   8 
  9   8   7   9 
  9   9   8   7 
